,symbol,size,date_time_unix,date_time_utc,date_time_utc_full_hour
0,AMZN,0.047,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
1,BTCUSDT,0.047,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
2,KWEB,0.044,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
3,SUI,0.042,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
4,TECK,0.041,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
5,BILL,0.039,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
6,CRON,0.038,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
7,TBT,0.034,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
8,WDAY,0.034,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
9,WIX,0.032,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
10,TV,0.030,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
11,V,0.030,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
12,GOOGL,0.029,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
13,DLTR,0.029,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
14,LITE,0.029,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
15,GDS,0.027,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
16,ZD,0.027,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
17,CRWD,0.027,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
18,SLV,0.027,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
19,BIDU,0.027,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
20,BABA,0.026,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
21,TSM,0.026,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
22,CNHI,0.025,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
23,VALE,0.025,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
24,IFF,0.024,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
25,CME,0.024,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
26,SCHW,0.024,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
27,SPGI,0.024,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
28,CCI,0.023,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
29,NOAH,0.023,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
30,JBT,0.023,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
31,LUNAUSDT,0.022,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
32,WLTW,0.022,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
33,EWZ,0.022,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
34,FIVN,0.021,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
35,FOUR,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
36,SHOP,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
37,ENS,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
38,SWK,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
39,IIVI,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
40,SPOT,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
41,ECH,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
42,FWONK,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
43,ETHUSDT,0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
44,COUP,0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
45,SILJ,0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
46,GDXJ,0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
47,GDX,0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
48,AVAXUSDT,0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
49,SOLUSDT,0.018,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
50,Z,0.018,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
51,SSNC,0.018,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
52,AVID,0.018,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
53,TSLA,0.017,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
54,CGC,0.017,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
55,ESTC,0.017,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
56,CVNA,0.016,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
57,LAD,0.016,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
58,AMOT,0.015,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
59,DOTUSDT,0.015,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
60,SQ,0.015,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
61,GDDY,0.014,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
62,API,0.013,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
63,URA,0.013,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
64,PYPL,0.013,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
65,CIEN,0.013,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
66,MLM,0.012,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
67,THRM,0.012,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
68,KYMR,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
69,ALGOUSDT,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
70,COPX,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
71,CREE,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
72,AES,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
73,ATOMUSDT,0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
74,OPEN,0.010,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
75,FTMUSDT,0.010,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
76,AGRO,0.010,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
77,APPN,0.010,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
78,XP,0.009,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
79,SE,0.009,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
80,FSLY,0.008,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
81,DYDXUSDT,0.007,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
82,AAVEUSDT,0.006,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
83,NRIX,0.006,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
84,PCT,0.006,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
85,HNTUSDT,0.005,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
86,ARVN,0.005,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
87,YFIUSDT,0.005,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
88,UNIUSDT,0.005,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
89,COMPUSDT,0.004,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
90,SNXUSDT,0.004,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
91,CCCC,0.004,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
92,SRMUSDT,0.003,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
93,CZZ,-0.011,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
94,GWW,-0.014,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
95,CHKP,-0.014,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
96,K,-0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
97,GSHD,-0.019,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
98,NOC,-0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
99,BRBR,-0.021,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
100,GD,-0.022,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
101,GOLF,-0.023,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
102,KR,-0.026,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
103,AOS,-0.028,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
104,CVX,-0.034,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
105,GCI,-0.036,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
106,IWM,-0.161,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
107,QQQ,-0.328,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
0,URA,0.017,1641256720,2022-01-03 19:38:40+00:00,2022-01-03 20:00:00+00:00
0,TBT,0.02,1641393230,2022-01-05 09:33:50+00:00,2022-01-05 10:00:00+00:00
0,PPLT,0.01,1641393296,2022-01-05 09:34:56+00:00,2022-01-05 10:00:00+00:00
0,KWEB,0.05,1641393542,2022-01-05 09:39:02+00:00,2022-01-05 10:00:00+00:00
0,SHOP,0,1641393798,2022-01-05 09:43:18+00:00,2022-01-05 10:00:00+00:00
0,URA,0.013000000000000001,1641479666,2022-01-06 09:34:26+00:00,2022-01-06 10:00:00+00:00
0,TECK,0.03,1641481196,2022-01-06 09:59:56+00:00,2022-01-06 10:00:00+00:00
0,BABA,0.04,1641481445,2022-01-06 10:04:05+00:00,2022-01-06 11:00:00+00:00
0,SRMUSDT,0,1641495752,2022-01-06 14:02:32+00:00,2022-01-06 15:00:00+00:00
1,FTMUSDT,0.01,1641495752,2022-01-06 14:02:32+00:00,2022-01-06 15:00:00+00:00
0,BTCUSDT,0.05,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
1,LUNAUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
2,ETHUSDT,0.02,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
3,AVAXUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
4,SOLUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
5,DOTUSDT,0.01,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
6,ONEUSDT,0.005,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
0,SUSHIUSDT,0.01,1641496085,2022-01-06 14:08:05+00:00,2022-01-06 15:00:00+00:00
0,GDDY,0.03,1641936084,2022-01-11 16:21:24+00:00,2022-01-11 17:00:00+00:00
0,OPEN,0,1641936269,2022-01-11 16:24:29+00:00,2022-01-11 17:00:00+00:00
1,EHTH,0.01,1641936269,2022-01-11 16:24:29+00:00,2022-01-11 17:00:00+00:00
0,TECK,0.015,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
1,VALE,0.015,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
2,NG,0.02,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
0,BIDU,0.035,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
1,NOAH,0.03,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
2,QQQ,-0.4,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
3,ZTO,0.02,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
0,GDXJ,0.04,1642118140,2022-01-13 18:55:40+00:00,2022-01-13 19:00:00+00:00
0,PBR,0.01,1642118429,2022-01-13 19:00:29+00:00,2022-01-13 20:00:00+00:00
1,ITUB,0.01,1642118429,2022-01-13 19:00:29+00:00,2022-01-13 20:00:00+00:00
0,XOM,0.02,1642181392,2022-01-14 12:29:52+00:00,2022-01-14 13:00:00+00:00
0,FIVN,0.025,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
1,CVNA,0.02,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
2,MSFT,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
3,FB,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
4,GOOG,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
0,PENN,0.02,1642531103,2022-01-18 13:38:23+00:00,2022-01-18 14:00:00+00:00
0,IWM,-0.15,1642531188,2022-01-18 13:39:48+00:00,2022-01-18 14:00:00+00:00
1,SPY,-0.1,1642531188,2022-01-18 13:39:48+00:00,2022-01-18 14:00:00+00:00
0,ETHUSDT,0.03,1642635066,2022-01-19 18:31:06+00:00,2022-01-19 19:00:00+00:00
0,TCOM,0.03,1642719108,2022-01-20 17:51:48+00:00,2022-01-20 18:00:00+00:00
0,BILL,0.04,1642719392,2022-01-20 17:56:32+00:00,2022-01-20 18:00:00+00:00
0,NOAH,0.035,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
1,SPY,-0.1,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
2,IWM,-0.15,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
3,QQQ,-0.4,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
0,GSHD,0,1642720303,2022-01-20 18:11:43+00:00,2022-01-20 19:00:00+00:00
1,BRBR,-0.015,1642720303,2022-01-20 18:11:43+00:00,2022-01-20 19:00:00+00:00
0,GDXJ,0.05,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
1,SPY,-0.1,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
2,IWM,-0.125,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
3,QQQ,-0.35,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
4,NFLX,0.02,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
5,CRM,0.015,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
